name,price,description,imageUrl,quantity,category,sku,available,discount
ProductE,108.83,High quality,http://example.com/producte.jpg,74.0,Electronics,SKU0000,True,0.33
ProductC,455.76,Eco-friendly,http://example.com/productc.jpg,20.0,Home,SKU0001,False,0.17
ProductC,125.11,Eco-friendly,http://example.com/productc.jpg,97.0,Home,SKU0002,True,0.47
ProductE,92.33,High quality,http://example.com/producte.jpg,19.0,Electronics,SKU0003,True,0.01
ProductB,150.63,Limited edition,http://example.com/productb.jpg,17.0,Clothing,SKU0004,False,0.32
ProductC,361.02,High quality,http://example.com/productc.jpg,56.0,Electronics,SKU0005,False,0.45
ProductC,137.37,High quality,http://example.com/productc.jpg,60.0,Books,SKU0006,True,0.08
ProductA,487.0,Durable,http://example.com/producta.jpg,75.0,Books,SKU0007,False,0.26
ProductA,487.0,Durable,http://example.com/producta.jpg,75.0,Books,SKU0007,False,0.26
ProductD,406.72,Eco-friendly,http://example.com/productd.jpg,87.0,Sports,SKU0008,True,0.03
ProductB,458.98,Durable,http://example.com/productb.jpg,53.0,Clothing,SKU0009,True,0.37
ProductE,202.61,Popular item,http://example.com/producte.jpg,22.0,Books,SKU0010,True,0.28
ProductE,202.61,Popular item,http://example.com/producte.jpg,22.0,Books,SKU0010,True,0.28
ProductB,478.35,High quality,http://example.com/productb.jpg,83.0,Books,SKU0011,True,0.1
ProductC,276.45,Durable,http://example.com/productc.jpg,30.0,Electronics,SKU0012,True,0.09
ProductD,374.57,Eco-friendly,http://example.com/productd.jpg,37.0,Electronics,SKU0013,False,0.18
ProductE,439.34,Popular item,http://example.com/producte.jpg,8.0,Sports,SKU0014,True,0.33
ProductD,428.64,Popular item,http://example.com/productd.jpg,6.0,Electronics,SKU0015,False,0.06
ProductE,474.14,Durable,http://example.com/producte.jpg,98.0,Clothing,SKU0016,True,0.34
ProductA,237.52,Popular item,http://example.com/producta.jpg,36.0,Electronics,SKU0017,True,0.14
ProductB,139.27,Limited edition,http://example.com/productb.jpg,80.0,Clothing,SKU0018,True,0.32
ProductC,48.73,Limited edition,http://example.com/productc.jpg,57.0,Clothing,SKU0019,False,0.2
ProductD,213.9,Durable,http://example.com/productd.jpg,29.0,Books,SKU0020,False,0.07
ProductC,295.04,Durable,http://example.com/productc.jpg,42.0,Books,SKU0021,True,0.05
ProductD,424.25,Durable,http://example.com/productd.jpg,24.0,Sports,SKU0022,False,0.37
ProductC,73.13,Durable,http://example.com/productc.jpg,44.0,Clothing,SKU0023,False,0.24
ProductB,493.67,Eco-friendly,http://example.com/productb.jpg,91.0,Home,SKU0024,True,0.07
ProductE,265.65,Eco-friendly,http://example.com/producte.jpg,49.0,Sports,SKU0025,False,0.45
ProductE,213.43,Limited edition,http://example.com/producte.jpg,97.0,Home,SKU0026,False,0.1
ProductE,341.74,Eco-friendly,http://example.com/producte.jpg,68.0,Sports,SKU0027,True,0.43
ProductB,319.44,High quality,http://example.com/productb.jpg,81.0,Sports,SKU0028,True,0.08
ProductE,39.82,Durable,http://example.com/producte.jpg,82.0,Home,SKU0029,True,0.18
ProductE,39.82,Durable,http://example.com/producte.jpg,82.0,Home,SKU0029,True,0.18
ProductA,373.42,Limited edition,http://example.com/producta.jpg,94.0,Books,SKU0030,False,0.33
ProductB,411.34,High quality,http://example.com/productb.jpg,16.0,Books,SKU0031,True,0.21
ProductC,409.33,Popular item,http://example.com/productc.jpg,96.0,Books,SKU0032,True,0.13
ProductE,386.07,Durable,http://example.com/producte.jpg,67.0,Home,SKU0033,True,0.09
ProductC,326.14,Popular item,http://example.com/productc.jpg,43.0,Electronics,SKU0034,False,0.09
,,,,,,,,
ProductA,225.09,Popular item,http://example.com/producta.jpg,52.0,Sports,SKU0036,False,0.46
ProductC,240.36,Durable,http://example.com/productc.jpg,100.0,Sports,SKU0037,True,0.32
ProductB,216.47,Popular item,http://example.com/productb.jpg,37.0,Books,SKU0038,False,0.33
ProductB,216.47,Popular item,http://example.com/productb.jpg,37.0,Books,SKU0038,False,0.33
ProductD,467.53,Durable,http://example.com/productd.jpg,71.0,Sports,SKU0039,False,0.06
ProductE,329.87,Eco-friendly,http://example.com/producte.jpg,29.0,Sports,SKU0040,True,0.46
ProductE,329.87,Eco-friendly,http://example.com/producte.jpg,29.0,Sports,SKU0040,True,0.46
ProductD,462.02,Eco-friendly,http://example.com/productd.jpg,16.0,Home,SKU0041,True,0.4
ProductB,228.99,Popular item,http://example.com/productb.jpg,98.0,Clothing,SKU0042,True,0.08
ProductC,324.12,High quality,http://example.com/productc.jpg,20.0,Sports,SKU0043,True,0.06
ProductA,31.22,Popular item,http://example.com/producta.jpg,9.0,Clothing,SKU0044,True,0.41
ProductD,429.86,Limited edition,http://example.com/productd.jpg,54.0,Electronics,SKU0045,True,0.18
ProductC,78.15,Popular item,http://example.com/productc.jpg,58.0,Electronics,SKU0046,True,0.27
ProductE,108.33,Limited edition,http://example.com/producte.jpg,99.0,Books,SKU0047,True,0.27
ProductD,174.65,Limited edition,http://example.com/productd.jpg,9.0,Books,SKU0048,True,0.03
ProductA,43.18,Durable,http://example.com/producta.jpg,56.0,Sports,SKU0049,False,0.5
,,,,,,,,
ProductC,180.98,Limited edition,http://example.com/productc.jpg,15.0,Electronics,SKU0051,True,0.03
ProductA,111.14,Popular item,http://example.com/producta.jpg,67.0,Books,SKU0052,False,0.23
ProductC,206.93,Limited edition,http://example.com/productc.jpg,6.0,Electronics,SKU0053,False,0.29
ProductB,80.88,Limited edition,http://example.com/productb.jpg,80.0,Sports,SKU0054,False,0.2
ProductA,440.53,High quality,http://example.com/producta.jpg,97.0,Clothing,SKU0055,False,0.48
ProductC,247.67,Limited edition,http://example.com/productc.jpg,70.0,Home,SKU0056,False,0.21
ProductD,306.17,High quality,http://example.com/productd.jpg,2.0,Electronics,SKU0057,True,0.34
ProductD,28.87,Popular item,http://example.com/productd.jpg,33.0,Sports,SKU0058,True,0.07
ProductA,180.5,High quality,http://example.com/producta.jpg,22.0,Clothing,SKU0059,True,0.34
ProductA,27.49,High quality,http://example.com/producta.jpg,88.0,Books,SKU0060,False,0.21
ProductE,236.5,High quality,http://example.com/producte.jpg,52.0,Home,SKU0061,True,0.34
ProductB,104.97,Limited edition,http://example.com/productb.jpg,22.0,Books,SKU0062,False,0.44
ProductB,27.45,High quality,http://example.com/productb.jpg,20.0,Electronics,SKU0063,True,0.19
ProductC,332.81,Durable,http://example.com/productc.jpg,14.0,Books,SKU0064,False,0.4
,,,,,,,,
ProductE,271.06,Limited edition,http://example.com/producte.jpg,14.0,Clothing,SKU0066,False,0.46
ProductC,276.48,Limited edition,http://example.com/productc.jpg,98.0,Sports,SKU0067,False,0.26
ProductD,439.94,Popular item,http://example.com/productd.jpg,17.0,Sports,SKU0068,True,0.08
,,,,,,,,
ProductA,391.65,Popular item,http://example.com/producta.jpg,67.0,Books,SKU0070,False,0.25
,,,,,,,,
ProductC,265.08,Durable,http://example.com/productc.jpg,8.0,Clothing,SKU0072,True,0.31
ProductC,369.94,Durable,http://example.com/productc.jpg,80.0,Books,SKU0073,False,0.27
ProductC,316.56,Limited edition,http://example.com/productc.jpg,80.0,Books,SKU0074,True,0.36
ProductE,341.38,Limited edition,http://example.com/producte.jpg,69.0,Sports,SKU0075,True,0.3
ProductA,269.96,Limited edition,http://example.com/producta.jpg,55.0,Books,SKU0076,False,0.11
ProductB,399.58,Durable,http://example.com/productb.jpg,59.0,Sports,SKU0077,False,0.34
ProductB,426.43,Durable,http://example.com/productb.jpg,68.0,Clothing,SKU0078,False,0.18
ProductA,411.34,High quality,http://example.com/producta.jpg,54.0,Electronics,SKU0079,False,0.03
ProductE,27.26,Limited edition,http://example.com/producte.jpg,40.0,Sports,SKU0080,False,0.38
ProductC,10.87,Durable,http://example.com/productc.jpg,44.0,Clothing,SKU0081,False,0.43
ProductA,316.37,Eco-friendly,http://example.com/producta.jpg,6.0,Sports,SKU0082,True,0.26
ProductB,495.15,Eco-friendly,http://example.com/productb.jpg,11.0,Books,SKU0083,False,0.36
ProductB,313.59,Popular item,http://example.com/productb.jpg,55.0,Clothing,SKU0084,False,0.17
ProductC,71.57,Popular item,http://example.com/productc.jpg,96.0,Clothing,SKU0085,True,0.19
ProductE,139.67,Eco-friendly,http://example.com/producte.jpg,58.0,Sports,SKU0086,True,0.06
ProductA,229.73,Durable,http://example.com/producta.jpg,39.0,Sports,SKU0087,False,0.06
ProductA,229.73,Durable,http://example.com/producta.jpg,39.0,Sports,SKU0087,False,0.06
ProductA,277.85,Limited edition,http://example.com/producta.jpg,16.0,Electronics,SKU0088,False,0.16
ProductE,76.28,Durable,http://example.com/producte.jpg,15.0,Home,SKU0089,True,0.43
ProductD,497.25,Durable,http://example.com/productd.jpg,99.0,Sports,SKU0090,True,0.19
ProductB,340.79,Eco-friendly,http://example.com/productb.jpg,11.0,Sports,SKU0091,False,0.01
ProductB,104.67,Popular item,http://example.com/productb.jpg,35.0,Home,SKU0092,False,0.04
ProductD,221.67,Durable,http://example.com/productd.jpg,44.0,Electronics,SKU0093,False,0.18
ProductD,25.79,Durable,http://example.com/productd.jpg,41.0,Books,SKU0094,False,0.47
ProductD,25.79,Durable,http://example.com/productd.jpg,41.0,Books,SKU0094,False,0.47
ProductE,478.86,Durable,http://example.com/producte.jpg,14.0,Home,SKU0095,True,0.0
ProductA,306.18,Popular item,http://example.com/producta.jpg,83.0,Home,SKU0096,True,0.32
ProductC,429.9,Popular item,http://example.com/productc.jpg,65.0,Books,SKU0097,True,0.25
ProductC,429.9,Popular item,http://example.com/productc.jpg,65.0,Books,SKU0097,True,0.25
ProductB,208.43,High quality,http://example.com/productb.jpg,61.0,Sports,SKU0098,False,0.04
ProductE,267.58,Popular item,http://example.com/producte.jpg,20.0,Books,SKU0099,True,0.13
ProductE,267.58,Popular item,http://example.com/producte.jpg,20.0,Books,SKU0099,True,0.13
